Campus,Universidad,X,Y,Estación_Principal,Tiempo_Principal,Estación_Alternativa,Tiempo_Alternativa
CAMPUS DE CIUDAD UNIVERSITARIA,UCM,438382,4477568,CIUDAD UNIVERSITARIA,5,MONCLOA,13
CAMPUS DE SOMOSAGUAS,UCM,432938,4476147,CAMPUS DE SOMOSAGUAS,2,BELGICA,18
CAMPUS CIUDAD UNIVERSITARIA,UPM,439113,4478046,VICENTE ALEIXANDRE,3,GUZMAN EL BUENO,7
CAMPUS MONTEGANCEDO,UPM,429203,4473350,MONTEPRINCIPE,42,NULL,NULL
CAMPUS SUR,UPM,446689,4471382,SIERRA DE GUADALUPE,13,MIGUEL HERNANDEZ,20
CAMPUS DE MOSTOLES,URJC,425586,4465580,UNIVERSIDAD REY JUAN CARLOS,6,MOSTOLES CENTRAL,23
CAMPUS DE ALCORCON,URJC,428261,4466798,PARQUE OESTE,7,ALCORCON CENTRAL,15
CAMPUS DE FUENLABRADA,URJC,430435,4459661,HOSPITAL DE FUENLABRADA,2,PARQUE EUROPA,15
CAMPUS DE VICALVARO,URJC,443410,4476278,VICALVARO,2,VALDEBERNARDO,7
CAMPUS DE ARANJUEZ,URJC,448742,4432119,NULL,NULL,NULL,NULL
CAMPUS DE GETAFE,UC3M,438391,4463468,JUAN DE LA CIERVA,6,GETAFE CENTRAL,13
CAMPUS DE LEGANES,UC3M,435121,4465162,LEGANES CENTRAL,7,CASA DEL RELOJ,10
CAMPUS DE COLMENAREJO,UC3M,414368,4488857,NULL,NULL,NULL,NULL
CAMPUS DE PUERTA DE TOLEDO,UC3M,439891,4473386,PUERTA DE TOLEDO,1,PIRAMIDES,7

