DENOMINACION,BARRIO,ZONATRANSPORTE,FECHAINICIO,LINEAS,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE
ARROYOFRESNO,81,079-08-158,1999-03-30,['7'],U,T,Calle,438581.0,4482705.0,[]
RIVAS URBANIZACIONES,-1,123-002,1999-04-01,['9'],U,T,Plaza,453645.0,4468818.0,[]
NOVICIADO,11,079-01-007,1993-07-01,"['2', ' 3', ' 10']",U,N,Calle,440100.0,4475360.0,[]
LAGO,91,079-09-224,1993-07-01,['10'],U,T,Ronda,437699.0,4474444.0,[]
BATAN,91,079-09-224,1993-07-01,['10'],U,T,Paseo,436208.0,4473507.0,[]
SOL,16,079-01-014,1993-07-01,"['1', ' 2', ' 3']",U,T,Plaza,440446.0,4474473.0,"['C-3', ' C-4']"
SOL,16,079-01-014,1993-07-01,"['1', ' 2', ' 3']",U,T,Plaza,440446.0,4474470.0,"['C-3', ' C-4']"
SOL,16,079-01-014,1993-07-01,"['1', ' 2', ' 3']",U,T,Plaza,440446.0,4474466.0,"['C-3', ' C-4']"
NUEVOS MINISTERIOS,62,079-06-120,1993-07-01,"['6', ' 8', ' 10']",U,T,Calle,441392.0,4477767.0,"['C-1', ' C-10', ' C-2', ' C-3', ' C-4', ' C-7', ' C-8', ' C-8a']"
ESTRELLA,141,079-14-379,1993-07-01,['9'],U,N,Calle,443960.0,4473846.0,[]
NUEVOS MINISTERIOS,62,079-06-120,1998-01-01,"['6', ' 8', ' 10']",U,T,Calle,441392.0,4477763.0,"['C-1', ' C-10', ' C-2', ' C-3', ' C-4', ' C-7', ' C-8', ' C-8a']"
LISTA,41,079-04-072,1993-07-01,['4'],U,N,Calle,442819.0,4475819.0,[]
LA POVEDA,-1,014-001,1999-04-07,['9'],U,T,Parcela,459545.0,4463483.0,[]
EMPALME,101,079-10-254,2002-09-01,['5'],U,T,Calle,435153.0,4471597.0,[]
MANOTERAS,165,079-16-442,2007-01-01,['4'],U,T,Calle,443920.0,4481106.0,[]
SAN FERMIN-ORCASUR,123,079-12-336,2007-01-01,['3'],U,T,Avda,441175.0,4469263.0,[]
CONGOSTO,181,079-18-502,1993-07-01,['1'],U,T,Calle,447573.0,4469481.0,[]
CIUDAD DE LOS ANGELES,175,079-17-467,2007-01-01,['3'],U,T,Avda,441213.0,4468107.0,[]
SAN CRISTOBAL,171,079-17-484,2007-01-01,['3'],U,T,Avda,441236.0,4466104.0,[]
PUERTA DEL SUR,-1,007-011,2003-01-01,"['10', ' 12']",U,T,Avda,431106.0,4466622.0,[]
COSLADA CENTRAL,-1,049-005,2007-01-01,['7'],U,T,Calle,452504.0,4475148.0,"['C-2', ' C-7', ' C-8', ' C-8a']"
GARCIA NOBLEJAS,152,079-15-423,1993-07-01,['7'],U,N,Calle,446390.0,4475710.0,[]
BARRIO DE LA CONCEPCION,155,079-15-408,1993-07-01,['7'],U,T,Calle,444813.0,4476906.0,[]
ANTON MARTIN,12,079-01-020,1993-07-01,['1'],U,N,Calle,440772.0,4473980.0,[]
GREGORIO MARAÑON,75,079-07-130,1993-07-01,"['7', ' 10']",U,T,Calle,441463.0,4476838.0,[]
ALONSO CANO,74,079-07-134,1993-07-01,['7'],U,T,Calle,440805.0,4476857.0,[]
FRANCOS RODRIGUEZ,93,079-09-217,1993-07-01,['7'],U,T,Avda,439707.0,4478875.0,[]
